,target,TweetText
717261,0,still doesn't feel good.. 
516079,0,I need to get my shit together for work!! 
1179283,4,@charmbracelet85 hehe your welcome CB gd luck with the studies tomorrow and I wish u All the Best for your exam lets hope u get driver 2 
1088807,4,@Sford85 totally worth it 
390208,0,Woke up today feeling sickly &amp; achie. Make it to work but think I will have to cancel girls night tonight. 
285509,0,I feel like crap. Sick 
219752,0,@NickSpov hollla to that! lol wanna buy me one?  PWEEEZ
438688,0,breakfast on the beach with the fam. washing &amp; cleaning out my car so it no longer smells like a foot. my little sis graduates HS tonight 
424604,0,"Emmmm...HUGRYYYYY  and I miss my twin sister, JEJE :'( where. Are you sis?  http://myloc.me/2TNU"
1261664,4,@sammieepaige yyyyyep.  wanna come over wednesday? no one's gonna be home. and yeah. 
1596432,4,"Yaaay, can't wait til next gig! And I'm concluding an agreement today which means that since October I'll share a new place in Warsaw "
553257,0, Alton towers with the school on Friday  although we need to leave at 5am 
1292758,4,Gettin ready to do some labor. I think id rather play music 
1173222,4,Bored.  So bored.  Head-about-to-explode bored.  But my courser is a jumping iPod.  That should entertain me.
120489,0,ugh.just started an account and cant figure it out...help  im so confused.
1486463,4,@thisisjustin You're givin' me caffeine envy over here!! 
1191394,4,@soulhuntre nice try...  but it was worth it to read the old article on invisible poisonous sky fish 
24977,0,"@yenyad I'm not. Like you I am frustrated, but not surprised.  "
708827,0,damn the smiley wont work!    but it right now that smiley is needed cuz it says oh crap
537080,0,Wondering if its over 
1124567,4,@Paul_1966 thanks 
654387,0,IDK whts goin on me me.. second day in a row ii got breakfast nd so0o0o dont want it 
961554,4,only got 3 hours of sleep....but it was worth it  .....going back to bed until furthur notice.
666485,0,@AngieZherself You've no idea. My husband &amp; I used to work for him &amp; knew him for a LOONG time. I can't believe how far he's fallen. 
610818,0,preparing my thoughts for the moving out of my son.....when did he get so independant...  
1576691,4,@bradiewebbstack @shaundiviney @andyclemmensen tweet 1000 goes out to you guys to say: When are you coming back to canberra?!  x
1434332,4,had a great day  tomorrow will be amazing!
989445,4,@tommcfly hey tom! hope you have a great flight!  can't wait to see you in Chile!!!
438492,0,Gahhh....little cousins are tiring!! 
8796,0,"@deathburlesque same here, love! summer cannot come fast enough! I miss you terribly!  I'm sorry you're sick! *hugs*"
1464353,4,has found out some good news 
1264239,4,"@leonorawrr i have my sources  that's why... btw, how true is it??"
1471620,4,@webteam30stm Happy Mother's Day to U! Germany already had its. Question is why always on a Sunday? Nevertheless have a beautiful day 
368944,0,@brspall Thanks for the FF!! It was an insanely busy day...no zen garden for me 
673755,0,Headache.  And my legs ache. Gahrgoeygsf
980559,4,"Wochenmotto  'When life gives you lemons, make lemonade.'"
1511826,4,@zenoscapin nice ride man...waiting for the gps track  Now you have to plan the ride for 06/29. Have a nice week!
649398,0,Also watched 'Analyze That' and disappointed  I was expecting it will be as good as Ananyze This.
159250,0,"@whyinthehell yeah, makes treating stuff a little more difficult.  i hate being bipolar."
307086,0,@BStenseth you cant live life like that 
878303,4,I took a nap after eating a phenomenal home-cooked meal; now I am up at this hour.  Might as well get some work done and tweet of course 
953389,4,@jane__ irl just ended lo. but it was good 
529616,0,"@Ralfy26 watching ID, xbox ive doesnt want to work "
248539,0,says where is she  http://plurk.com/p/xgwry
800978,4,@lspearmanii @milagro88 @dmf71 @paulmason10538 @mauibeech @gunka @maczter @ThankTank  #Gratitude
1456238,4,@ChristinaToner Yes it does 
1530194,4,"@yolie81 also, wishing you a very merry unbirthday "
342009,0,is down with the sickness  http://plurk.com/p/y3z60
633188,0,"Could updates take any longer.?! My computer is painfully slow right now, I don't think it's happy with me. "
341578,0,its so freaking cold! 
251484,0,@sankofa1327 I want a kitty!!! And a puppy!!!! My parents won't let me though cause they say I won't clean up after it... 
970814,4,@Mrsdaughtry Anything with Richard Gere in it 
1402636,4,@hadzimesic : I highly recommends you join www.m2e.asia You can earn money from free shareholder by dividends. Even you do NOTHING! 
1014511,4,@Janyssa Thanks~ I think I should give myself more time to adapt and absorb more hehe.  
401386,0,Gonna miss the JSC chili cookoff 
1488055,4,@lisa_sparxxx http://twitpic.com/6uupd - Yay you posted it! 
10784,0,rainy day   clean house I guess...
239189,0,So disappointed right now. 
177555,0,@Audioprincess  Ah bad times   I hate exams. I feel so unprepared this time as well. Sucks haha.
1370386,4,@NiQSTReeTZ YoU are WeLCoME!! 
1009899,4,@justinewalshe Well I'm following you   Yr welcome to follow back if you wish!
1428918,4,@virtual4now glad you like UberTwitter!!! 
469519,0,@squarespace Could today finally be the day  !! #SQUARESPACE
287322,0,@luvtheveronicas Hey Ebony! What's wrong with LTV  hope it works soon 
253810,0,"i just want you to answer me someday, please "
1500096,4,@seanichol there's this really cool new product called sunscreen. U should try it 
621151,0,@rollingcherry unfair.  now i'm sad and going to cry myself to sleep.
347183,0,Dun wanna go to the liturgy. 
1039886,4,Wkend is now here! let the sun shine and the drink flow 
974160,4,"@DDubsTweetheart OMG! YAY! So, they already left the Bahamas?!  OMFG! I can't stop laughing right now! BAHAHA!"
1250345,4,"@madetoorder sooo, y'all get anything new in store? "
665790,0,No electricity!  and my mac book is almost dead...
459936,0,May have to go to the er ...my throat is swollen and has a big knot on the right side. It hurts rly bad.  keep me in ur prayers.
1192390,4,i gotta go! sweet dreams twitters! 
85377,0,i'm going to work.. 
1020102,4,@polarelda it's a housing conference. 
1431107,4,@toscareno Just watched first episode of &quot;Flexing at 49&quot;. Awesome Tosca can't wait to see more. 
727762,0,Just set 3 rat traps. The last one only caught some gray fur. 
772956,0,"Not because I want my books pirated, but it's such a pin in the ass to have to repurpose/individualise ever freaking single letter "
1463936,4,Success! I don't feel like crap  though I do *look* like crap thanks to this sunburn  hoping it fades soon!!!
1335171,4,college was bpring and way too hot to work in lol hopefully mums brought me some hurley boardies today  bring on the sun lol 16 Days 
1087314,4,Heading out to search for a sonic screwdriver for Dr Who's 8-year-old assistant. Hope you have a lovely day. 
1216242,4,@NiaVardalos Good luck with the GMA interview Nia   Do you know when &quot;my life in ruins&quot; is out in England? polla fillakia xoxoxo
1238857,4,"@sigriffin Hey, you know I love your newsletter! "
367159,0,@chelsealately i just feel bad for sacha... he practically got publically gay bashed.. 
1505720,4,I use OPERA 
1338158,4,"Productive day: made a batch of soup before work, nice journos, spinning at lunch, more nice journos, &amp; now 2 more gym classes then a gig "
289755,0,#duffphotoupload Still no joy with my pic &amp; Ushers wife @TamekaTaymond is having probs now too 
431063,0,"@aulia no I'm watching live, I'm just a Rubens supporter "
600165,0,@bbayley yeahh but you're impossible to get a hold of these days  miss you!
875859,4,Is watching britains got talent and liked the mini Oliver 
1323945,4,@tricia_anne30 hey Tricia  we're having a confe  wanna join us?
828502,4,"totall weirdness with Softmachine,I think it's awesome  ? http://blip.fm/~4kokb"
56616,0,"@dougpmd hi any advice on wisdom teeth? Mine are coming through,on antibotics as infected! So painful! "
798410,0,"@KatyBudgetBooks Thanks for the reply, I just discovered it-We had someone order 7 books and then when they came in they only bought 4 "
236107,0,freakin' out! one week before college starts! 
409099,0,@bluesparks42 I yelled because I had to do all of first shifts work while the only cashier. 
115884,0,"here's what's not good- covering an outdoor event. on a windy day. in a skirt.  hello, meade county veterinary hospital. how YOU doin'?"
1299992,4,@MiMaMe Thanks for the help Michelle!   I was having serious problems deciding! *throws a portion of ice cream to Michelle*
630642,0,Overcome with nausea.... Why??!!!! 
1343485,4,@Stomper_Girl Yay!  Bring on 2010 ! 
452331,0,@mangoruu Aghh! Take care.  I hope that your head remains intact.
1472296,4,@BauerPower614 um... so I'm staying on a place at the Cape right now and the house I'm at overlooks a bird sanctuary and i thought of you 
398114,0,Fuckin rain just killed mi nets  i was on a download spree
13150,0,"Stupid female biology has me feeling really sick.  Played soccer with my dog a little, but I'm exhausted and in pain. Gah. T please?"
148853,0,@jujoffer yooo did you get my message on FB. I'm horrible 
441572,0,"@gabbyfosho if youre talking about me, sorryyy. past personal stuff and its just an opinion. ive seen them change and dont like it "
376507,0,"ariel's going away part.  first person i met here, first person to leave "
512149,0,"@tmowoe aww... tnk u!sadly, my day wasn't as nyc... "
71115,0,Am still feeling poorly today. It's not fair 
274371,0,last week of school..   i'll miss my friends!
1591180,4,: having Union BBQ today and we are expecting to have another beautiful day in Toronto.  Listening to Viva La Vida Coldplay.  
141611,0,I broke my caaaar 
1063690,4,worked to hard today for a Friday. Thats alright I'll make some slack time on Monday  looking at going to the show. Anything good playing?
631772,0,I been put on a Budget so I can't go to the mall    and I just got paid today   @ReBeLR
1415749,4,@eval08 Get 100 followers a day using www.tweeteradder.com Once you add everyone you are on the train or pay vip 
134996,0,i feel like crap!  I hate being sick!
1564449,4,"A Irse d Tono cn mis patas carretas (? xD @kmsonreir,@liss_Lovato,Rossie05@Joice25,@Angelaah,@ Mariana y @ Hilary "
148849,0,"rough start today, very ill, unofficial store opening may be delayed "
1520103,4,@NathanFillion: I believe it's Wookiee (double e)...  Better get that right - you don't want to anger Wookiees by misspelling...
245825,0,Really bad hangover 
198464,0,Anyone have any idea how to clean windows and doors that have all those little individual panes (pains)?  I am making a mess. 
519314,0,There is a highly farcical story of Robert Fisk and Reuters et al being banned in 1979 in Iran. As is happening now. Must re-read it. 
1097416,4,@1indienation i'm adjusting my underpants in the hope that the upload signal will be better.  ha!  - yeah i was uploading/syncing.
131639,0,@sufisingaporean yeahuh! 
219811,0,"@wakingLifexx ikr, I thought I saw Katie once; almost had a heart attack. "
1398607,4,"@johnfbraun Yep, got it, 25th birthday of Tetris. And thanks for the compliment on the art stuff. Someday I'd like to try photography too "
1240862,4,"@mikeschmid usually, but i wasn't in the best of health when i made my follow friday. the sick will be represented next ff. "
851296,4,@jedackerman anything for our B! Thanks for coming. I had fun too!  Remember... When in doubt... Patty yourself 
1206972,4,"@HayleyyFitch hahaha i've loved him since sharkboy&amp;lavagirl  but yeah, you know, we only have to wait till november, gahhh! "
655714,0,"@dannymcfly @tommcfly oh my gosh, this is SO not fair, I totally wanted to go 2 ur concert today, but still... i'm sooo far away "
319018,0,Thank you Starbucks for your flimsly defective cups..I am now wearing half my latte 
693316,0,@julefrog Oh   When do YOU get a day off baby?
1132815,4,@alicialee17 http://twitpic.com/6ap7d sry i miss some minutes i was using my degree... lol 
89563,0,no calls or texts  but I have my 3g so tweet meee..booga gimme ur effin email please thankss
953319,4,dad's went to the gym. and i'm preparing cup noodles for myself. because it's soooo cold. 
87288,0,is stuck in on this lovely day revising  grrrr
1544110,4,@nicoleblackman i found you   i've been replying to your email in pieces throughout the day... i'll send it soon.
1045163,4,Not seeing the potential of all this FREE traffic at your fingertips?You need to check your own pulse!  http://tinyurl.com/qqw2yd
1191099,4,"Series 3 Office ending LOOVE IT, have done NO revision but instead watched all of series 3 . . . quite a productive day i would say "
899276,4,@modelstruck are you coming to San Fran? I heard you were and I want you to be there! No matter what it takeS 
1033614,4,@JoEsKeEzYhave a god night tho skeezy  lol
1511507,4,Another grass photo... but thats what i did yesterday  http://tinyurl.com/nk3p92
740111,0,I don't want to go to school tomorrow.  What a tiring day! I enjoy twittering at my phone by the way.
964045,4,May the Lord answer ALL your prayers. Psalm 20 1-5  I found serenity in this this morning. God bless
1325257,4,@manishrawat Good Morning to you 
1446386,4,@kaiLoDelf i see.. sure get some rest now.. church wont wait for you if you are late tomorrow.. 
56098,0,Drinking alone sucks 
1486153,4,"@bekasaur I hate when it does that. That's what I use  yes, and she does a great job doing it "
8580,0,@chriswhill sweet!  Josh is at work though 
232896,0,Great... and now it's hailing again.... 
1170768,4,what i wouldnt give for a pool to jump into right now! 
837345,4,Somebody's got Twitterberry  sweet!!!
1328513,4,"the Hub are organizing a Summerschool, brilliant http://www.hubsummerschool.nl/ come and change the world "
417969,0,ooh no ..i dont like this version of interstate love song. my homie must've been on that stuff when he was singing. he was so off key. 
1336891,4,@relysh You know you miss it! You should come back 
915345,4,Happy mothers day to all of you amazing moms!! Hope you have a wonderful day with your loved ones. You deserve it!!  You do a great job! 
944330,4,is missing my baby. i cant wait for him to come home 
1158916,4,@katzy I do love a good car boot sale. I loved buying old stamps and books. Ah those were the days. Enjoy. 
662396,0,oh my sweet potatoes there is nothing on television.  Forced to watch Beverly Hills Cop 
1114693,4,@Chase_Fowler Good Luck! 
1055253,4,"@lancearmstrong I am a huge fan of Ray LaMontagne! Can't choose just one song can you? Glad to hear your a fan!  Have a great day, Lance."
746144,0,i need to be in sweatpants and home 
577702,0,"@NCrystean it's quite the experience. too bad i couldn't join the parade  hey, do you use facebook?"
36142,0,My clock is off so I have to keep looking at my computer for the time 
703940,0,@wildfire13 and those are only the tip of the iceberg 
141669,0,It is way too damn early!! Need sleep!  I'm gonna die.
1390829,4,@thirteensenses Cool stuff 
299040,0,@ohhhjulie You finally got it to log off from my computer 
1350211,4,new post on whatisyourvice.blogspot.com   check it out.....please 
744926,0,"@ThatJonasKidJoe Joe, I will be on later I am helping my sister make a twitter sorry "
831532,4,@jakeashley oo I love gossip girl 
520165,0,only peta wants to follow me  i wish someone i admire would wink wink nudge nudge lol  still searching 4 pink tik june 27th
1070305,4,watching the new wizards. 
1176829,4,@zostinja Yeah! Nice. 
186644,0,Ughh where's my baby thoughhh 
1403657,4,just back from the Dogs Trust 
273563,0,@_smay omg defo rob lowe!!! i dont really like rebecca though 
1243767,4,omg! well..here is the best news of all time in Brazil with McFly: http://bit.ly/zp3If  Look at this boys! 
613356,0,You know... Sometimes being an ectomorph can suck  but I'm still fine son! 
1105226,4,My feet hurt from shopping. I haven't done this in a while. 
889504,4,"@Wafirosli Hahaha. We use to complain ALOT and I mean, ALOT because of Socio, but heyyy! All worth it! "
597063,0,"@CinbadLI Yes, he was a real gentleman!!  Loved him and he was true to himself.  He passed away almost 10 yrs ago now  I still miss him."
97471,0,@geniusboywonder Damn! Damn! Damn!  Completely forgot about attending #netprophet 
1351971,4,@batarde Love that!  I am on Season 3.  I'm late to the party. 
1039140,4,i sleep better when gaga is singingg to me throughh muh ipod. 
322244,0,"@headabovewater dude, so excited to see you in Manchester! Nearly saw you at forward hall in Erie, pa but couldn't make it "
526891,0,Oh yeah...today's my last day in the city. 
915307,4,@howie_d It's a pleassure making you both smile.  Have a nice day and you are making me smile as well being on twitter.. aahhh nice..
552513,0,being stuck at home sick when i have a 100 betta things i culd be doing is soo frustrating! 
1482289,4,Yumm... I needed that... Coffee 
1236839,4,@devildarkhead Now u have all the time to relax  Have a nice month!!!
539782,0,@hozman911 have not brewed in a bit  We just moved to Boston and love it! When are you coming to the East Coast?
1250680,4,hey @gary228ho  don't forget to pick up the books you lent me!  (Social Data Revolution live &gt; http://ustre.am/2Pjv)
1045395,4,Mission: FIVE DOLLAR SALE AT URBAN OUTFITTERS is completed!  got some dope things...hope my work ain't over yet.. if u know wut I mean ;)
13987,0, my water heater has exsploded!!
798065,0,@eblahovec I was actually applying for jobs and the person that I was with was from Work One.  Yes it is hot 
742556,0,Happy Fathers Day... 
170017,0,Wishing I made enough money to do whatever I want! Sux... No money in education 
801441,4,"About to dash again! This is what happens when you sleep all day, you HAVE to party all night. "
298869,0,"Watchin season 1 of dexter. I have a crush on Deb, but shes married to dexter in real life "
588781,0,I wish @lamequeen3 hastxting again! Ugh... Bitchass just has to cut off her line when i got a new phonee  grrr
461541,0,"My head is totally killing me, fuck "
195292,0,@MyShowbizName I wish you were here too 
590168,0,a little sad...just finished talking to a good friend - why do the good guys always get the raw end of the deal?? Hmmmm...going to bed... 
184522,0,@themagicoflaura We couldnt no 
907087,4,@twitlonger Hi x Your websites soo cool i love using it  Thank you 
1022862,4,@MWPS Who loves YOU the most?!?! ME!!! 
1578720,4,everyone... @jdaflip is comin to town tomorrow say yaaay  gonna be at that parade wednesday... tell all ur banger homies NO SHOOTING.
957248,4,@shutup_and_rock SORRY SORRY!!! But i haven't really gotten anything until last night. I'll finish today &amp; send it to u later 
310562,0,work tom 
996661,4,absolutely loved gossip girl last night 
21338,0,"@AnnieD1 morning annie,u ok hun? My bberry crashd last nite so couldn't see any tweets. They're alive...wish I was there "
1317800,4,Ohhhh hahha thanks junior that's sweet 
1552341,4,"@xconway I dunno yet, I'm in a club rather drunk in a club! I got that booom boom pow  what you doing?"
1393715,4,@deathangel0123 Fine as a healthy puppy 
1576439,4,"@sassisam i prescribe u perky pop music, and set up with a blanket on the couch! "
1473852,4,"Chris Miles was in my dream last night. No, not Joe Dempsie. Chris Miles. There is a difference. "
996301,4,good morning! should be a beautiful day 
1409403,4,"@boysnoize cher used it even before then  excellent point, though"
1499256,4,@JKVEE no wayy dude! just noticed we live in the same place! la la land! we should hang sometime! teehee 
515515,0,@jrl7 Any luck on tracking down the EventCombMT creator? 
768190,0,A lot of stress at work 
129119,0,ick - my throat is scratchy too!  i hope the rest of the day is smooth going
255403,0,My family is leaving on Wedsday I am going to be sooooo lonely for the next couple of months 
684838,0,just  had a really shit sleep 
908490,4,@Etsy never noticed that before but you're right! guess that's because my heart is always dreaming of travel... 
1320312,4,@Entregreeneur do you mind if i ask who you went with? 
1569269,4,@monsta_g Get 100 followers a day using www.tweeterfollow.com Once you add everyone you are on the train or pay vip 
540747,0,can a heart be broken if its already broke 
261023,0,"@el_juansimon Didn't find anything 4 you, even for your b-day.  I'll try 2 find something special in Quebec!"
304080,0,My world is falling apart as we speak. 
605878,0,@OlallaaReiiGaal I know that tomorrow's your bday (: WTF?! You'll have a dog?! OMG que envidiaaa! I want that 
1131494,4,Just listened to a little bit of 7-9 Legendary on mobileYoutube xD sounds like an Infinity On High demo. I like it 
1053449,4,when faced with the dilemma to be kind or to be right...choose kind 
699835,0,@nealopp I do a lot of reading and they make the screen fuzzy 
884749,4,"@ClaytonMorris I just heard you mention: TWITTER, drinking wine and getting paid...hmmmmm...Dream job! "
1266794,4,@officialkathyg right on  hehe
1120290,4,DIVERSITY. This is what I have been waiting for  #bgt
248335,0,I miss my hubby. 
981526,4,Yeah! No more interruptions! 
1465160,4,@Angeldream05 Oh yummy!  Must be great to meet up with your parents! Did they have a good time in France?
1497381,4,@GabiMonti Good Night and good luck on that test 
1103492,4,@tn_femme I am well. I feel drowsy...I stayed on the phone wayyyyyy to long laughing at people. I'm paying 4 it now. Going 2 pride 2day 
558453,0,had a heavyyyyyyy lunch n my mind aint working now 
991341,4,@Lisa_Veronica what show you getting ready to do? how did you flight go  x
1207374,4,Today: Clay pigeon shooting 
1000836,4,"@TEPtracks All day every day!~ I've been uber busy with a different project, Im finally got time to do music "
1532885,4,Nice to know my family stalk me  this plec is the luckiest ever 
1022034,4,@GraceWelch or knock on the door. 
900688,4,lol haha very funnyyy lol im talking to my bestfriend ashleyyyy!!! 
876803,4,"Math field day, relay for life with Caitlin, kicking old ladies by accident, grape pencils, and rocket to the moon "
119613,0,@DavidArchie I hope you get some REST!!!!!! you looked SO tired! 
560231,0,"@jstpatrice aww, you reminded me of ice-cream; im craving it now! LOL, but im gna get sickk  so ill fight my temptations :L"
860320,4,"@cheapshades yep! but with the power of twitter, it should be a landslide! "
119571,0,@steff_blehh I HADDDD 5. 3 now 
564289,0,How did I not know about the #squarespace contest? Oh I know. I've been slacking on my Diggnation downloads. 
159615,0,@lezizzle way to make me feel bad punkkkk 
133797,0,So annoyed when our own application in production need several minutes to open some pages. 
174692,0,@nataliejanette Im so jealous that Im not going to blogher 
226399,0,Didn't make level 5.  
729313,0,You have to leave already!?! But you only just got here!!! 
167667,0,*pokes and runs away* ... I WANT SUGAR ! 
491081,0,Class from 6 to 9:30!! 
1187605,4,"OK on Sundays i make up my on word. today's word is Daycation - A one day vacation, something i need badly "
1194905,4,good luck @mileycyrus! I hope my votes counted. 
769183,0,I hate going to sleep knowing I have to be up at 6 for work 
1579061,4,@stompyourfeet kft ftw! im so craving that now. i just remembered i have some coups. 
297451,0,So stressed. I barely tweeted today 
1096061,4,Next stop: take my family out for dinner to MKG.   http://myloc.me/24wB
1112845,4,@lisathewaitress I'm very intrigued...let me think on it today and get back to you.   Eeeeeeks!
1514370,4,okay so 2night in the middle of save a horse ride a cowboy i got what he means by save a horse ride a cowboy lol i know i know im so dumb 
1156738,4,moulin rouge my life movie 
1080197,4,"@tommcfly *------* u wrote a song in brazil, we inspired you HAHA, goodnight "
770011,0,@zanydude Nice one didnt know you was going! I am meant to be seeing take that tomoz but tickets havent come! 
1577991,4,"Ooh... IE8 looks kinda flasher than 7, and it does seem a fair bit quicker. I'm still gonna stick with FF "
874672,4,@2NiteBoy going to bed already? aaww. goodnight 
1174384,4,http://twitpic.com/6c2tv - this means having fun 
1277261,4,"@do0dlebugdebz jst the same hope u make it..nice to knw that i may be frm a small island,bt i dscover a lot frm those who aren't near me "
780620,0,"morning twitterland, just woken up + feel really stiff + sore coz wore (small) heels y'day + not used to them  Usually wear my fitflops..."
1369007,4,@davidiannelli home for summer! till september when I'm moving into my own house.. 
1459101,4,"watching twilight for no reson, and listening to ma ipod "
516506,0,miss my earring  going home earlier in the hope that the store is still open....
259028,0,@j_trotter  I am FoLLOWING YOUUUUU! LOL. sad I won't get to see you until hopefully Spring next year 
536105,0,KITTY UPDATE: April has taken a turn for the worse...she is now fighting off multiple infections and will not be coming home tonight... 
649709,0,@PUNK3R3LLA yea... but we dont have a nutha prac session  o wellz
1259066,4,@BleuhMeuhDesign thanks!! 
788659,0,not feeling well at all. gotta work from 8:45-6:15. 
617623,0,i liked it better when my mom and brother wasnt home. it was quieter 
51832,0,Just woke up. Risa and I want pancakes! 
953602,4,I love gossip girl. Ed Westwick is amazing 
1193773,4,@DanChiz I mean...that's part of the fun - when I went they were having sand castle competitions and we got free ice cream 
575779,0,Im so freaking lonely without codi here. 
258421,0,why are yall unfollowing me 
1157437,4,is listening to agenes - release me (L)  and is contemplating doing some english coursework..
1342567,4,@raineybo I like how we result to viloence. 
187675,0,@tweetypie08 spicy but no Liz Hurley 
504756,0,@shayes287 i have! 
1013382,4,"Going for a nap I think, sooooo tired "
10084,0,I want sushi today but i think i'll be to busy to get any 
881240,4,@Remy_Foster yes they do 
700013,0,"@fastcompany I would love to have stopped by the Fast Company office, but I am in Chicago! "
455510,0,"Seriously, time for a nap.... "
223631,0,"@ragavin thats the problem. Shadow vs spider, joe vs dragon, then those winners face. Plus crane vs scorp. Just sad all around "
429165,0,@tomstubbs I hear you lost by the smallest of margins to the tories? 
960213,4,"@MediaCoach roast lamb, enjoy - making my mouth water at the thought "
1265162,4,@shamara99 hahahaha..isnt that what brothers are for !! 
1361328,4,"Discovered Ivy through iTunes Genius today while buying some Zero 7. Quite liking her sound, especially the album In The Clear. "
823484,4,@KellyOlexa Nice! What do you put it down to? (the explosion?) Loving the awesomeness  I'm sweet! I feel so good lately. Crushing it = 
671872,0,outt for a drink with the boys . . i kinda just wanna stay in my beed &amp; play video games thouuu 
1145074,4,"Anyone know of any good plans for making your own toy boy/chest? I'm handy, I just need tools. "
397090,0,ouch my head! do I really need to go to work now? 
720826,0,Just saw an old lady trip and fall in the rain and her nose is bleeding. The poor woman looked so sad 
433943,0,@BengeeB Good morning.  I wondered what happened. I was sending dms to @Kaatje_68. Did know about you 
1549827,4,"@Goodness500 that river in Indo sure looks nasty, I'd recommend swimming in Bass Lake, CA (PRNS) "
985515,4,"i love sam, what a nice bloke  #masterchef"
152198,0,"@attitudecandy sorry Candy, i don't see Daniel...I don't follow him    @onerichsong Richard are you here?"
200253,0,I wonder when will I be able to get close with you again? 
1207738,4,reading Unaccustomed Earth by Jhumpa Lahiri 
497425,0, what about that fat boy?
1045910,4,#followfriday @FranchiseKing because #Ilikefranchiseking! 
68784,0,@SethBuzzard My high school english teacher never made me read it. Does this mean I'll never be ready? &lt; 
786285,0,AND there was a random person laying on the side of the road at the White Asshole.  Skeered me.
481814,0,i'm sick  Gotta go to the Dr @ 3
82016,0,"@captjohnathan Aww honey, I'd come with you, but I get to stay here with no man.  At least I have the rest."
56370,0,its 2 am and im not sleepy 
468540,0,@RaeP13 THANKS THATS IT NOW OVER WITH TIRED FOR A UPSELL BUT FAILED  HAHAHA!! p.s sorry for caps cnt be bothered changing it!
636447,0,@theteganandsara whaaaaaaaaat. no DL? i would love to drive u girls around! unfortunately im in tx. 
957287,4,Was just making videos  I'm getting better 
1222517,4,"@EMILYANNELOVESU hii  not muchh! im just watching crappy tv, ahah, you?"
1106270,4,It's sunny today! Hooray! I am already in a million times better mood! 
801899,4,"oh - and triple H won at wrestlemania...not that I'm counting, but 100% of my predictions were accurate "
568513,0,"Thank you @NerdBoyTV , I don't have an iphone  This is my baby http://www.gsmarena.com/samsung_x660-1316.php old school lol"
566960,0,@therealpnut I know 
1258705,4,âworked all day... now chilling with my honey.  
1088404,4,http://twitpic.com/68sq7 - In a storage area or something. Haha sweet 
714416,0,Stayed home today still not feeling well. Sent D to school by himself. 
45208,0,"@werecat1 keep in mind it was taken with my phone, it doesnt do it justice "
1032881,4,"@TraderJoesBK aha, yes. you're far wittier than i. "
1176824,4,"@fabfatties, you should follow my friend @rodeomom because she's walking with me in the Avon 2-day!  She ROCKS!  "
235871,0,I want my New York Football Giants. Sundays just aren't the same w/o them 
29806,0,"i'm hungry, i wouldnt mind a creamy hot chocolte and choquettes from Paul, but it doesnt taste the same from Dubai "
381969,0,What did the hot Jonas brother do to his hair 
776685,0,http://twitpic.com/8clmp - This is what happens when a dog eats socks and rocks  poor dumb Foster
1355795,4,running to FedEx... maybe hittin Starbucks on the way 
1309909,4,Well good...it's a start. 
100013,0,i hate school but gotta find a way to make me like it..  if not..i will be stupid. lol
53139,0,@NicholasJerry92 Jonas is tonight!! But not in Canada  Are you excited for people to see it?
17047,0,: starting tomorrow I vow to tweet less so alyssa will continue to follow my facebook updates mobilly. 
907324,4,"@thedustball main event has not happened yet, but he is doing well so far "
159893,0,Pooooooo no morrissey on the 30th he has a poorly throat. 
1299452,4,252 lenses by potential Giants and 118 by future 100 Clubbers! For victory of  #WiWon team! We are the best!  http://twttrlist.com/A11K
896232,4,Making a summer playlist. Give me some songs. No Rap.  thank you.
1182486,4,Swimming at the rock quarry today. woohoo ! 
1415679,4,@ShannonTwins sounds cool u got nice view from there lol  have fun tonite at tha mansion 
862536,4,Now its a little bit Oblivion...with guns. Oh...and still crap.  its one of THOSE friday nights I guess...
241717,0,"Studying Information Security. uncountable definitions, "
877477,4,@CyanidexBeauty Thanks. I changed my hair again  lol
1313505,4,"@very_speedy is this the sound of defeat? A lessening of red behaviour??? NO COMPROMISE, NO PRISONERS "
1512807,4,gonna get ready - chat now now 
1248676,4,@babydolltash Ohhhh I did ask you that! LOL Dope! Can I see some of your work? 
12667,0,has nothing to do todaay  uggh!
675891,0,Watchin the jackson 5 on Vh1... Damn I miss the old Michael 
759584,0,"Last day in Munich, went shopping pretty much all day. Saw relatives for the last time  Very rainy Leaving for Berlin on 1130 train 2morow"
1506670,4,@INeedMyMoney got me a few times too but didn't respond when I told it to fuck their life. 
759493,0,Back 2 work :| hate it 
301718,0,Just Got Home Bad Day Today 
1037235,4,Goodnight. 
682191,0,@Tyrese4ReaL you guys should have come to Melbourne for the premier 
83810,0,"broke my sunglasss, again "
434675,0,@patriciaco But Demi said she'll NEVER date a Jonas Brother. 
1222383,4,"New Vid on Youtube, Gymnastics  Check it out"
5583,0,bleh...didn't wake up on time to leave work early for the chiropractor 
1112841,4,@David_Preston Roger that  See the iPhone app work? If you did not order art for logo let's put it on hold I got one done ;)
1284016,4,@Bulgarin Ð²Ñ?Ðµ ÐµÑÐµ Ð² Ð¿ÐµÑÐµÐ´Ð¸ 
1260482,4,@TheBav I have zero dates. Wanna switch? 
450370,0,I'M HUNGRYY!  even tho I just had 2 eggs with tomatoes! I know random... x)
1249916,4,working out in 90 degrees 
1563518,4,"Just so were clear, cailin had my phone! i effing love gabe saporta hes a sexy beast  kays just jealous"
